Age,Income,Credit_Score,Employment_Years,Debt_to_Income,Loan_Amount,Education,Marital_Status,Previous_Default,Default
52,32804,346,1,0.17129688507343732,23373,Bachelor,Married,No,1
18,35171,379,0,1.6492626728398108,19148,Other,Married,No,1
25,22889,448,0,1.1203601646032304,11602,Graduate,Single,No,1
25,43727,450,2,0.7777121951235104,12342,Bachelor,Divorced,No,1
40,27802,319,4,0.213544314670848,7685,High School,Married,Yes,1
76,102628,624,2,2.2754185322525258,12401,High School,Single,No,1
36,24729,572,3,1.3520129712195519,6687,High School,Married,No,1
28,77631,763,4,0.40000147103845163,1158,Graduate,Single,No,0
45,41146,547,1,0.6618437425526683,500,Bachelor,Married,No,1
78,59434,456,4,1.841615751346707,24006,Graduate,Single,No,1
45,68390,504,3,1.1458835257284878,11399,High School,Married,No,1
35,28698,594,2,0.9564852676765159,9134,Other,Married,No,1
38,13879,581,4,0.8909407660718103,4865,Graduate,Married,No,0
39,45118,621,4,1.3673519601824782,7898,High School,Single,Yes,1
58,30831,401,0,0.7085464390666137,18810,High School,Married,No,1
57,52810,648,4,1.0417812171253402,4694,High School,Married,No,1
69,46629,403,1,0.9919298538525523,29493,High School,Married,Yes,1
32,40994,586,0,0.14057934092709679,5706,Bachelor,Married,No,0
57,48776,583,1,1.3834243742495784,755,Bachelor,Married,Yes,1
38,61085,576,1,0.4320490267584831,8191,High School,Married,Yes,1
46,31499,605,1,1.2056591567199122,6911,Bachelor,Married,No,1
34,53487,661,4,0.6017887607514718,8052,High School,Married,No,1
21,59419,387,3,1.2944709725045414,19696,High School,Married,No,1
43,40712,606,0,1.3149546357124766,4256,Bachelor,Married,No,1
63,74980,737,2,3.0,5172,Bachelor,Single,No,1
47,51247,567,4,1.2340857077004275,10322,Graduate,Married,No,1
49,101988,660,0,1.3241822386965032,3467,High School,Married,No,1
55,86683,481,1,0.5228528342527466,8479,Bachelor,Single,No,1
18,55673,401,0,0.5234802562634595,9927,Bachelor,Married,No,1
20,43682,630,0,1.1159990808512006,14303,High School,Married,No,1
62,72451,538,1,1.2134149689041445,13338,Bachelor,Single,No,1
39,41531,657,1,0.6534731904846014,4898,High School,Married,No,0
42,42597,541,4,0.4761798885050059,1016,High School,Single,No,1
31,19722,402,0,1.5078583160398495,21960,Graduate,Single,No,1
37,55669,573,1,0.8387671282071232,6564,Other,Married,No,0
67,37619,471,0,0.7943286655791493,26258,Graduate,Single,No,1
30,62694,463,0,1.1736115483109975,8342,High School,Single,No,1
36,18655,728,0,1.3897470321524739,7348,High School,Married,No,1
64,49885,441,0,0.5900687730500211,23199,Bachelor,Single,No,1
64,8000,453,1,2.8416354365884446,23804,Bachelor,Divorced,No,1
40,27474,623,0,1.7672898164970123,6814,High School,Divorced,No,1
60,10370,523,4,1.1381620310623377,18991,Bachelor,Single,No,1
18,48120,453,1,1.7624801617806234,17040,High School,Single,No,1
28,24260,592,4,0.7655666751407055,3227,Graduate,Married,No,0
26,72345,529,0,2.0343086317125847,21503,High School,Married,No,1
41,16893,739,3,1.1150607423624703,13942,Bachelor,Single,No,1
51,68683,358,3,1.6276863628305835,24377,High School,Married,Yes,1
38,62964,546,1,2.069709194148504,9631,Bachelor,Single,No,1
18,40291,495,1,0.2738946059753753,8133,Bachelor,Married,No,1
35,27463,446,2,0.48002766323740886,4050,High School,Single,No,1
76,57532,582,0,1.8624974138409223,18918,Other,Single,No,1
18,58525,300,0,0.2794555266010831,20413,Graduate,Single,No,1
51,10139,757,4,1.8051209264875512,5255,Graduate,Divorced,No,1
76,53702,403,2,1.7357783931340662,29399,Graduate,Married,No,1
59,46260,531,0,1.0912186104084252,10731,Bachelor,Married,No,1
84,27857,432,3,0.8740262749027029,44921,Graduate,Single,No,1
62,56407,512,7,0.6995486615230048,15976,High School,Single,No,1
54,77731,586,0,0.7817701906011658,7992,High School,Single,Yes,1
41,54019,750,0,1.0977198350775406,3950,High School,Married,No,1
30,68758,400,0,1.0967578619552194,20001,High School,Married,No,1
30,47239,783,1,0.12978130181500913,4673,Bachelor,Married,No,0
43,27374,477,2,1.4886833514085351,20801,High School,Single,No,1
43,37630,682,3,0.15384497590185808,4238,Graduate,Divorced,No,1
46,77880,636,2,0.8751296307989646,629,Bachelor,Single,No,0
54,58460,500,4,0.3720755277502895,15460,High School,Divorced,No,1
79,38049,497,0,1.8838176276858642,25587,Bachelor,Single,No,1
43,18979,457,0,0.39595611717083834,4476,High School,Married,No,1
18,81825,370,2,0.4323404420571786,15515,Graduate,Single,No,1
39,53613,373,2,0.873922571745337,15381,High School,Married,No,1
52,62822,653,0,1.4804248554897097,746,Other,Married,No,1
60,67026,753,3,1.921837232360331,5630,Graduate,Married,No,1
82,64071,504,2,1.859713654201546,21221,High School,Married,No,1
43,44953,300,2,0.012980662427339418,25454,High School,Married,Yes,1
50,27817,646,4,0.23483969500577007,15993,Graduate,Married,No,1
67,47574,561,2,0.9546973609079152,20930,Graduate,Married,No,0
71,89107,850,2,2.6353129895052145,16102,Graduate,Single,No,1
26,43398,626,9,0.41957484458647964,1460,Graduate,Married,No,0
54,51043,627,1,1.4212994609982745,4592,High School,Married,No,1
58,18317,615,0,0.67671894526477,9243,Bachelor,Single,No,1
37,38066,599,1,0.40755416955161516,2370,High School,Married,No,1
36,54034,419,3,1.3650750144037,18261,Graduate,Single,No,1
56,63035,558,0,0.5128357795143109,13808,Bachelor,Single,No,0
43,24399,574,6,0.02407391415275928,9845,High School,Single,No,1
73,67652,300,0,0.25633729334065736,43236,High School,Single,Yes,1
49,94232,474,0,0.34644552453863287,10722,High School,Married,No,1
57,13935,414,4,0.5813793562614831,13112,High School,Married,No,1
60,80380,549,0,0.896458782215573,21782,Graduate,Divorced,No,1
57,9836,767,2,0.9412770647603848,2396,Bachelor,Married,No,1
69,53180,499,0,0.5185469513366339,24102,Graduate,Single,No,1
60,59211,771,5,0.2638944334550615,7172,Bachelor,Married,Yes,1
64,57891,604,1,1.3577443233517124,14526,High School,Married,No,1
77,56142,581,3,1.6380305729484954,23346,Graduate,Married,No,1
49,79996,559,4,1.7278849668564553,9829,Graduate,Married,No,1
18,53702,588,0,0.8553317394513953,4196,Bachelor,Divorced,No,0
36,60539,538,4,1.1178990147784524,4940,Graduate,Married,No,1
50,54173,705,6,0.2667764959200545,2512,Bachelor,Divorced,Yes,1
80,25122,470,0,1.104063032545326,28892,Bachelor,Single,No,1
42,45087,447,1,1.040113899591512,15997,Bachelor,Single,No,1
41,58793,380,4,0.07347232981403073,10062,High School,Married,No,1
46,52200,637,0,0.48572283524652293,4448,High School,Married,No,0
33,46766,347,5,1.316932731129328,13261,High School,Married,No,1
18,74775,432,2,0.36607570825910263,16604,Bachelor,Divorced,No,1
24,47457,408,3,0.9293074005774914,19383,High School,Single,No,1
39,78916,683,1,0.379215759718718,9695,Bachelor,Single,No,0
18,49976,410,1,0.44332847748396054,16779,Graduate,Married,No,1
61,70446,730,6,2.8011214774304443,7897,High School,Married,No,1
44,37382,471,4,0.4961954738719656,4658,Bachelor,Single,No,1
43,39830,550,1,1.1483918529469013,11196,Graduate,Married,No,1
48,55823,584,4,0.4965485313330622,7496,High School,Married,No,0
25,46778,633,2,0.25138821752536833,1077,High School,Married,No,0
48,52224,524,3,0.5157781896731529,8363,High School,Married,No,1
72,81497,523,4,1.3947346033881274,16378,High School,Single,No,1
56,107387,662,1,2.461145807380388,9628,Graduate,Divorced,No,1
27,59659,850,2,0.6912142242430479,7637,Graduate,Married,Yes,0
18,30550,586,6,3.0,19271,Bachelor,Married,No,1
58,47200,572,1,1.3273152817358258,5386,Graduate,Single,No,1
29,50325,791,0,0.5591006078330603,10132,Graduate,Married,Yes,0
71,69257,850,3,1.1758059698676886,16861,High School,Single,No,1
61,71241,834,0,0.9739462697550046,5239,Graduate,Single,No,1
66,56732,500,8,1.028868907303764,18896,Bachelor,Married,No,1
50,45198,501,1,0.9516780604097957,6118,Graduate,Single,No,1
77,47189,651,1,1.597100176414264,17743,Graduate,Married,No,1
42,86509,829,4,1.851091858941777,3302,High School,Single,No,1
34,28034,512,2,0.8210262410048514,17455,High School,Married,No,1
18,51675,472,0,0.26182417198160346,10521,High School,Single,No,1
61,73580,463,0,0.8680953203201216,21855,Bachelor,Single,No,1
59,62409,795,6,1.0920097338169104,11133,Graduate,Single,No,1
34,58313,500,1,1.1372265163354627,14394,Graduate,Divorced,No,1
18,61194,324,3,0.8612839707148063,19077,High School,Married,Yes,1
48,58569,575,2,1.112521350061362,14952,Bachelor,Single,No,1
59,12005,488,5,0.7679850065442592,17449,Bachelor,Married,No,1
